Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
COLLEGES (année scolaire 2024/2025);CONDORCET;61 RUE D' AMSTERDAM;8ème Ardt;75108;2024-2025;Collège;"{""coordinates"": [2.32697162874192, 48.88097843520577], ""type"": ""Point""}";48.88097843520577, 2.32697162874192
COLLEGES (année scolaire 2024/2025);FRANCOISE DOLTO;354 RUE DES PYRENEES;20ème Ardt;75120;2024-2025;Collège;"{""coordinates"": [2.386914603390663, 48.87395669100666], ""type"": ""Point""}";48.87395669100666, 2.386914603390663
COLLEGES (année scolaire 2024/2025);VICTOR HUGO;11 RUE BARBETTE;3ème Ardt;75103;2024-2025;Collège;"{""coordinates"": [2.360617651550141, 48.858841087259535], ""type"": ""Point""}";48.858841087259535, 2.360617651550141
COLLEGES (année scolaire 2025/2026);LAVOISIER;17 RUE HENRI BARBUSSE;5ème Ardt;75105;2025-2026;Collège;"{""coordinates"": [2.3392948014490216, 48.842354560857245], ""type"": ""Point""}";48.842354560857245, 2.3392948014490216
COLLEGES (année scolaire 2025/2026);AUGUSTE RODIN;19 RUE CORVISART;13ème Ardt;75113;2025-2026;Collège;"{""coordinates"": [2.347148574677879, 48.83256966693821], ""type"": ""Point""}";48.83256966693821, 2.347148574677879
COLLEGES (année scolaire 2025/2026);DANIEL MAYER;2 PLACE HEBERT;18ème Ardt;75118;2025-2026;Collège;"{""coordinates"": [2.363861812299952, 48.893141293813464], ""type"": ""Point""}";48.893141293813464, 2.363861812299952
COLLEGES (année scolaire 2025/2026);PAUL VERLAINE;167 RUE DE BERCY;12ème Ardt;75112;2025-2026;Collège;"{""coordinates"": [2.375238551801449, 48.84260745086261], ""type"": ""Point""}";48.84260745086261, 2.375238551801449
COLLEGES (année scolaire 2025/2026);ELSA TRIOLET;9 RUE YEO THOMAS;13ème Ardt;75113;2025-2026;Collège;"{""coordinates"": [2.3625004439080515, 48.83141317840951], ""type"": ""Point""}";48.83141317840951, 2.3625004439080515
COLLEGES (année scolaire 2025/2026);BUFFON;16 BOULEVARD PASTEUR;15ème Ardt;75115;2025-2026;Collège;"{""coordinates"": [2.3117175756846695, 48.84345072823188], ""type"": ""Point""}";48.84345072823188, 2.3117175756846695
COLLEGES (année scolaire 2020/2021);CAMILLE CLAUDEL;4 bis AVENUE DE CHOISY;13ème Ardt;75113;2020-2021;Collège;"{""coordinates"": [2.3648627277329224, 48.82064046139026], ""type"": ""Point""}";48.82064046139026, 2.3648627277329224
COLLEGES (année scolaire 2020/2021);PAUL GAUGUIN;35 RUE MILTON;9ème Ardt;75109;2020-2021;Collège;"{""coordinates"": [2.3423452396970905, 48.8792307451151], ""type"": ""Point""}";48.8792307451151, 2.3423452396970905
COLLEGES (année scolaire 2020/2021);PAUL VERLAINE;167 RUE DE BERCY;12ème Ardt;75112;2020-2021;Collège;"{""coordinates"": [2.375238551801449, 48.84260745086261], ""type"": ""Point""}";48.84260745086261, 2.375238551801449
COLLEGES (année scolaire 2020/2021);JACQUES DECOUR;12 AVENUE TRUDAINE;9ème Ardt;75109;2020-2021;Collège;"{""coordinates"": [2.3434236996737567, 48.8814862743419], ""type"": ""Point""}";48.8814862743419, 2.3434236996737567
COLLEGES (année scolaire 2020/2021);JULES FERRY;77 bis BOULEVARD DE CLICHY;9ème Ardt;75109;2020-2021;Collège;"{""coordinates"": [2.3291456039155314, 48.8843501739233], ""type"": ""Point""}";48.8843501739233, 2.3291456039155314
COLLEGES (année scolaire 2020/2021);ELSA TRIOLET;9 RUE YEO THOMAS;13ème Ardt;75113;2020-2021;Collège;"{""coordinates"": [2.3625004439080515, 48.83141317840951], ""type"": ""Point""}";48.83141317840951, 2.3625004439080515
COLLEGES (année scolaire 2020/2021);CARNOT;145 BOULEVARD MALESHERBES;17ème Ardt;75117;2020-2021;Collège;"{""coordinates"": [2.3078439600154557, 48.88447741020547], ""type"": ""Point""}";48.88447741020547, 2.3078439600154557
COLLEGES (année scolaire 2020/2021);BEAUMARCHAIS;124 RUE AMELOT;11ème Ardt;75111;2020-2021;Collège;"{""coordinates"": [2.3669059641720596, 48.864231545646064], ""type"": ""Point""}";48.864231545646064, 2.3669059641720596
COLLEGES (année scolaire 2020/2021);GEORGES CLEMENCEAU;43 RUE DES POISSONNIERS;18ème Ardt;75118;2020-2021;Collège;"{""coordinates"": [2.3515397719869475, 48.88906745779489], ""type"": ""Point""}";48.88906745779489, 2.3515397719869475
COLLEGES (année scolaire 2021/2022);ALBERTO GIACOMETTI;7 RUE DU CANGE;14ème Ardt;75114;2021-2022;Collège;"{""coordinates"": [2.31497156179252, 48.83426455206892], ""type"": ""Point""}";48.83426455206892, 2.31497156179252
COLLEGES (année scolaire 2021/2022);CHAPTAL;45 BOULEVARD DES BATIGNOLLES;8ème Ardt;75108;2021-2022;Collège;"{""coordinates"": [2.319687602583127, 48.88173758353143], ""type"": ""Point""}";48.88173758353143, 2.319687602583127
COLLEGES (année scolaire 2021/2022);PAUL VERLAINE;167 RUE DE BERCY;12ème Ardt;75112;2021-2022;Collège;"{""coordinates"": [2.375238551801449, 48.84260745086261], ""type"": ""Point""}";48.84260745086261, 2.375238551801449
COLLEGES (année scolaire 2021/2022);CLAUDE DEBUSSY;4 PLACE DU COMMERCE;15ème Ardt;75115;2021-2022;Collège;"{""coordinates"": [2.2915976475106854, 48.84529147463902], ""type"": ""Point""}";48.84529147463902, 2.2915976475106854
