valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,prix_m2,jour,mois,annee,arrondissement
245000.0,54.0,3.0,2.325741,48.889787,4537.037037037037,16,1,2024,17
697000.0,70.0,3.0,2.383673,48.874927,9957.142857142857,19,1,2024,19
857000.0,75.0,4.0,2.345044,48.858783,11426.666666666666,23,1,2024,1
500000.0,61.0,3.0,2.389802,48.877372,8196.72131147541,3,1,2024,19
252000.0,30.0,2.0,2.403852,48.852936,8400.0,17,1,2024,20
535316.0,46.0,2.0,2.323916,48.894616,11637.304347826086,8,1,2024,17
550000.0,71.0,3.0,2.397016,48.874087,7746.478873239436,10,1,2024,20
350000.0,41.0,2.0,2.359012,48.87113,8536.585365853658,13,1,2024,10
278700.0,24.0,1.0,2.328384,48.882171,11612.5,17,1,2024,9
575000.0,77.0,4.0,2.37342,48.884102,7467.532467532467,18,1,2024,19
170000.0,28.0,1.0,2.377122,48.892433,6071.428571428572,12,1,2024,19
800000.0,59.0,2.0,2.341817,48.861395,13559.322033898305,12,1,2024,1
225000.0,28.0,2.0,2.362374,48.893605,8035.714285714285,12,1,2024,18
210000.0,21.0,2.0,2.324385,48.89112,10000.0,25,1,2024,17
732204.0,65.0,3.0,2.336109,48.876528,11264.676923076922,24,1,2024,9
458000.0,65.0,3.0,2.326612,48.884214,7046.153846153846,24,1,2024,17
415000.0,24.0,1.0,2.292354,48.884635,17291.666666666668,11,1,2024,17
295000.0,32.0,2.0,2.325953,48.885229,9218.75,12,1,2024,17
460820.0,66.0,3.0,2.382923,48.888432,6982.121212121212,10,1,2024,19
515000.0,58.0,3.0,2.363851,48.871292,8879.310344827587,24,1,2024,10
602000.0,63.0,3.0,2.398356,48.867695,9555.555555555555,19,1,2024,20
680000.0,100.0,4.0,2.300932,48.888164,6800.0,3,1,2024,17
674600.0,79.0,3.0,2.384409,48.86761,8539.240506329113,22,1,2024,20
573000.0,60.0,3.0,2.391903,48.875215,9550.0,5,1,2024,20
1090000.0,102.0,5.0,2.331606,48.880482,10686.274509803921,16,1,2024,9
1224000.0,97.0,4.0,2.356734,48.861438,12618.556701030928,29,1,2024,3
275000.0,28.0,2.0,2.325063,48.88591,9821.42857142857,24,1,2024,17
148060.0,18.0,2.0,2.38496,48.878501,8225.555555555555,24,1,2024,19
290000.0,27.0,2.0,2.355141,48.874902,10740.74074074074,24,1,2024,10
156000.0,18.0,2.0,2.375539,48.876201,8666.666666666666,24,1,2024,19
